管理番号,消火器種別,所在,経度,緯度,備考
都-373-1,強化液消火器（３型）,東京都台東区蔵前3-21-5,139.7929797,35.70525067,
都-373-2,強化液消火器（３型）,東京都台東区蔵前3-22-8,139.792001,35.70557148,
都-373-3,強化液消火器（３型）,東京都台東区蔵前3-17-7,139.7910318,35.70589895,
都-373-4,強化液消火器（３型）,東京都台東区蔵前4-33-7,139.789805,35.70612536,
都-373-5,強化液消火器（３型）,東京都台東区蔵前4-37-9,139.7883052,35.70628307,
都-373-6,強化液消火器（３型）,東京都台東区三筋2-24-8,139.7873899,35.70637615,
都-373-7,強化液消火器（３型）,東京都台東区三筋2-21-8,139.7855824,35.70656387,
都-373-8,強化液消火器（３型）,東京都台東区小島2-18-14,139.7841382,35.70672304,
都-373-9,強化液消火器（３型）,東京都台東区小島2-21-10,139.7825104,35.70688919,
都-373-10,強化液消火器（３型）,東京都台東区台東4-25-8,139.7810658,35.7070453,
都-373-11,強化液消火器（３型）,東京都台東区台東4-26-8,139.7806942,35.70708452,
都-373-12,強化液消火器（３型）,東京都台東区台東4-28-11,139.779667,35.70717061,
都-373-13,強化液消火器（３型）,東京都台東区台東4-29-12,139.7786291,35.70730956,
都-373-14,強化液消火器（３型）,東京都台東区台東4-31-7,139.7773647,35.70744197,
都-373-17,強化液消火器（３型）,東京都台東区東上野1-12-1,139.7780122,35.70756292,
都-373-18,強化液消火器（３型）,東京都台東区東上野1-8-1,139.7793851,35.70740656,
都-373-19,強化液消火器（３型）,東京都台東区東上野1-6-1,139.7803566,35.7073115,
都-373-20,強化液消火器（３型）,東京都台東区東上野1-2-13,139.7812895,35.70720671,
都-373-21,強化液消火器（３型）,東京都台東区元浅草1-5-3,139.7823548,35.70707568,
都-373-22,強化液消火器（３型）,東京都台東区元浅草1-4-1,139.7834903,35.70695944,
都-373-23,強化液消火器（３型）,東京都台東区元浅草1-1-3,139.7845532,35.70684702,
都-373-24,強化液消火器（３型）,東京都台東区元浅草3-6-1,139.7853239,35.7067654,
都-373-25,強化液消火器（３型）,東京都台東区元浅草3-3-1,139.7864635,35.70665295,
都-373-26,強化液消火器（３型）,東京都台東区元浅草3-1-3,139.7873743,35.70655138,
都-373-27,強化液消火器（３型）,東京都台東区寿1-11-2,139.7885249,35.70643252,
都-373-28,強化液消火器（３型）,東京都台東区寿1-2-4,139.7895935,35.70631431,
都-373-29,強化液消火器（３型）,東京都台東区寿3-6-1,139.7914032,35.70595944,
都-373-30,強化液消火器（３型）,東京都台東区駒形1-1-2,139.7928906,35.70544464,
都-373-31,強化液消火器（３型）,東京都台東区駒形2-3-4,139.7937196,35.70513446,
都-437-1,強化液消火器（３型）,東京都台東区上野4-10-9,139.7744456,35.7113804,
都-437-2,強化液消火器（３型）,東京都台東区上野4-10-7,139.774199,35.71094429,
都-437-3,強化液消火器（３型）,東京都台東区上野4-9-6,139.7738019,35.71020935,
都-437-4,強化液消火器（３型）,東京都台東区上野4-5-4,139.7734229,35.70884878,
都-437-5,強化液消火器（３型）,東京都台東区上野4-4-4,139.7732897,35.70830273,
都-437-6,強化液消火器（３型）,東京都台東区上野3-24-4,139.7728744,35.70693366,
都-437-7,強化液消火器（３型）,東京都台東区上野3-17-7,139.7724408,35.70618118,
都-437-8,強化液消火器（３型）,東京都台東区上野3-16-5,139.7722071,35.7056522,
都-437-9,強化液消火器（３型）,東京都台東区上野1-10-12,139.7718936,35.70589961,
都-437-10,強化液消火器（３型）,東京都台東区上野1-19-4,139.7722948,35.70648834,
都-437-11,強化液消火器（３型）,東京都台東区上野1-20-11,139.772786,35.70746419,
都-437-12,強化液消火器（３型）,東京都台東区上野2-6-11,139.7730849,35.70871534,
都-437-13,強化液消火器（３型）,東京都台東区上野2-7-11,139.7732195,35.70925804,
都-437-14,強化液消火器（３型）,東京都台東区上野2-12-1,139.773246,35.70961344,
都-437-15,強化液消火器（３型）,東京都台東区上野2-11-20,139.7711567,35.70944999,
都-437-16,強化液消火器（３型）,東京都台東区池之端1-1-14,139.7696658,35.7091775,
都-437-17,強化液消火器（３型）,東京都台東区池之端1-2-18,139.7687108,35.71017945,
都-437-18,強化液消火器（３型）,東京都台東区池之端1-4-30,139.768579,35.71122102,
都-437-19,強化液消火器（３型）,東京都台東区池之端1-4,139.7684565,35.71219108,
都-437-20,強化液消火器（３型）,東京都台東区池之端2-1-42,139.7681089,35.71343926,
都-437-21,強化液消火器（３型）,東京都台東区池之端2-2-8,139.767535,35.71482065,
都-437-22,強化液消火器（３型）,東京都台東区池之端2-7-18,139.7668313,35.71590553,
都-437-23,強化液消火器（３型）,東京都台東区池之端2-7-13,139.7664385,35.71651164,
都-437-24,強化液消火器（３型）,東京都台東区池之端2-8,139.7671079,35.7158281,
都-437-25,強化液消火器（３型）,東京都台東区池之端2-9-38,139.767287,35.71561447,
都-437-26,強化液消火器（３型）,東京都台東区池之端2-9-1,139.7678284,35.71474846,
都-437-27,強化液消火器（３型）,東京都台東区上野公園3,139.7681931,35.71386733,
都-437-28,強化液消火器（３型）,東京都台東区上野公園2-43,139.7685849,35.71275492,
都-437-29,強化液消火器（３型）,東京都台東区上野公園2,139.7686833,35.71221137,
都-437-30,強化液消火器（３型）,東京都台東区上野公園2,139.7688584,35.7105775,
都-437-31,強化液消火器（３型）,東京都台東区上野公園2,139.7694685,35.70959052,
都-437-32,強化液消火器（３型）,東京都台東区上野公園2,139.7702591,35.70946911,
都-437-33,強化液消火器（３型）,東京都台東区上野公園2,139.7723386,35.7098688,
都-437-34,強化液消火器（３型）,東京都台東区上野2-13-12,139.7733907,35.71003463,
都-437-35,強化液消火器（３型）,東京都台東区上野公園1,139.7738516,35.71084354,
都-452-1,強化液消火器（３型）,東京都台東区上野7-15,139.7803275,35.71684222,
都-452-2,強化液消火器（３型）,東京都台東区上野7-15,139.7789753,35.71559496,
都-452-3,強化液消火器（３型）,東京都台東区上野公園7-32,139.7775323,35.71641125,
都-452-9,強化液消火器（３型）,東京都台東区谷中6-1-23,139.770529,35.7218241,
都-452-10,強化液消火器（３型）,東京都台東区谷中6-2-41,139.7704214,35.72211126,
都-452-11,強化液消火器（３型）,東京都台東区谷中6-2-35,139.7700507,35.72275596,
都-452-12,強化液消火器（３型）,東京都台東区谷中6-3-10,139.7690729,35.72350936,
都-452-13,強化液消火器（３型）,東京都台東区谷中4-2-37,139.7678651,35.72363442,
都-452-14,強化液消火器（３型）,東京都台東区谷中4-4-33,139.7668253,35.72372627,
都-452-15,強化液消火器（３型）,東京都台東区谷中4-4-27,139.7658245,35.72399214,
都-452-16,強化液消火器（３型）,東京都台東区谷中2-18-8,139.7647761,35.72442337,
都-452-17,強化液消火器（３型）,東京都台東区谷中3-2-3,139.764532,35.72457601,
都-452-18,強化液消火器（３型）,東京都台東区谷中3-1-4,139.7652305,35.72433421,
都-452-19,強化液消火器（３型）,東京都台東区谷中5-4-9,139.7664443,35.72389736,
都-452-20,強化液消火器（３型）,東京都台東区谷中5-4-3,139.7675037,35.72375876,
都-452-21,強化液消火器（３型）,東京都台東区谷中5-2-3,139.768406,35.72365055,
都-452-22,強化液消火器（３型）,東京都台東区谷中7-5-5,139.769536,35.72349532,
都-452-23,強化液消火器（３型）,東京都台東区谷中7-3,139.7702991,35.72398886,
都-452-24,強化液消火器（３型）,東京都台東区上野桜木2-10-6,139.770874,35.72117795,
都-452-30,強化液消火器（３型）,東京都台東区上野公園14,139.7780165,35.71631059,
都-452-31,強化液消火器（３型）,東京都台東区上野2-11-2,139.76991,35.70909532,
都-452-32,強化液消火器（３型）,東京都台東区上野1-15-3,139.7700776,35.70725781,
都-452-33,強化液消火器（３型）,東京都台東区上野1-6-3,139.7699873,35.7055901,
都-456-1,強化液消火器（３型）,東京都台東区根岸2-15-7,139.7783528,35.72405661,
都-456-2,強化液消火器（３型）,東京都台東区根岸2-12-9,139.7774586,35.72464409,
都-456-3,強化液消火器（３型）,東京都台東区根岸2-11-5,139.7771142,35.7248677,
都-456-4,強化液消火器（３型）,東京都台東区根岸2-18-10,139.7772564,35.72500669,
都-456-5,強化液消火器（３型）,東京都台東区根岸2-16-3,139.7784084,35.72427647,
都-458-1,強化液消火器（３型）,東京都台東区谷中3-23-10,139.7636336,35.73056162,
都-458-2,強化液消火器（３型）,東京都台東区谷中3-24-1,139.7633183,35.7305961,
都-462-1,強化液消火器（３型）,東京都台東区三ﾉ輪1-9-3,139.7909576,35.72741488,
都-462-2,強化液消火器（３型）,東京都台東区竜泉3-21-3,139.7911043,35.7254478,
都-462-3,強化液消火器（３型）,東京都台東区竜泉3-12-7,139.7912097,35.72367213,
都-462-4,強化液消火器（３型）,東京都台東区千束3-18-8,139.7912611,35.72269374,
都-462-5,強化液消火器（３型）,東京都台東区千束3-16-4,139.7912972,35.72148185,
都-462-6,強化液消火器（３型）,東京都台東区千束3-9-4,139.7918272,35.72047674,
都-462-7,強化液消火器（３型）,東京都台東区浅草4-27-6,139.7924122,35.71947523,
都-462-8,強化液消火器（３型）,東京都台東区浅草3-42-3,139.7928387,35.7181304,
都-462-9,強化液消火器（３型）,東京都台東区浅草2-12-6,139.7926829,35.71502535,
都-462-10,強化液消火器（３型）,東京都台東区浅草1-25-7,139.7923794,35.71273691,
都-462-11,強化液消火器（３型）,東京都台東区浅草1-10-4,139.7921937,35.71169238,
都-462-12,強化液消火器（３型）,東京都台東区雷門1-8-5,139.7918985,35.71066475,
都-462-13,強化液消火器（３型）,東京都台東区雷門1-6-4,139.7916315,35.70989239,
都-462-14,強化液消火器（３型）,東京都台東区寿4-7-7,139.7913798,35.70893302,
都-462-15,強化液消火器（３型）,東京都台東区寿3-19-7,139.7911982,35.70801341,
都-462-16,強化液消火器（３型）,東京都台東区寿3-9-3,139.7910208,35.70685058,
都-462-17,強化液消火器（３型）,東京都台東区蔵前3-16-6,139.7907272,35.70533464,
都-462-18,強化液消火器（３型）,東京都台東区蔵前3-8-4,139.790522,35.70451182,
都-462-19,強化液消火器（３型）,東京都台東区蔵前3-2-1,139.7902521,35.70342557,
都-462-20,強化液消火器（３型）,東京都台東区蔵前4-13-7,139.7898662,35.70309253,
都-462-21,強化液消火器（３型）,東京都台東区蔵前4-20-10,139.7901805,35.70438072,
都-462-22,強化液消火器（３型）,東京都台東区蔵前4-31-12,139.7904374,35.70542392,
都-462-23,強化液消火器（３型）,東京都台東区寿1-1-9,139.7906554,35.70648793,
都-462-24,強化液消火器（３型）,東京都台東区寿1-18-3,139.7908782,35.70792668,
都-462-25,強化液消火器（３型）,東京都台東区寿2-2-1,139.7910558,35.70885431,
都-462-26,強化液消火器（３型）,東京都台東区西浅草2-1-1,139.7919215,35.71178496,
都-462-27,強化液消火器（３型）,東京都台東区西浅草2-14-15,139.7921217,35.71294437,
都-462-28,強化液消火器（３型）,東京都台東区西浅草3-16-1,139.7923836,35.71449363,
都-462-29,強化液消火器（３型）,東京都台東区西浅草3-18-17,139.7924826,35.71584447,
都-462-30,強化液消火器（３型）,東京都台東区西浅草3-27-21,139.7925195,35.71684059,
都-462-31,強化液消火器（３型）,東京都台東区千束1-16-13,139.7924189,35.71887752,
都-462-32,強化液消火器（３型）,東京都台東区千束1-19-11,139.7915608,35.72042365,
都-462-33,強化液消火器（３型）,東京都台東区千束2-33-9,139.790962,35.72248981,
都-462-34,強化液消火器（３型）,東京都台東区竜泉1-20-17,139.790905,35.72365924,
都-462-35,強化液消火器（３型）,東京都台東区竜泉2-12-10,139.79078,35.72576069,
都-462-36,強化液消火器（３型）,東京都台東区竜泉2-20-20,139.7906572,35.72776496,
都-463-1,強化液消火器（３型）,東京都台東区駒形1-12-10,139.7954184,35.70879476,
都-463-2,強化液消火器（３型）,東京都台東区駒形1-10-9,139.7947471,35.70889565,
都-463-3,強化液消火器（３型）,東京都台東区寿4-13-11,139.7939727,35.7090182,
都-463-4,強化液消火器（３型）,東京都台東区寿4-15-8,139.7924962,35.70929218,
都-463-5,強化液消火器（３型）,東京都台東区寿4-16-7,139.7917528,35.7094629,
都-463-6,強化液消火器（３型）,東京都台東区寿2-9-12,139.7900319,35.70981907,
都-463-7,強化液消火器（３型）,東京都台東区寿2-8-10,139.7892436,35.70999285,
都-463-8,強化液消火器（３型）,東京都台東区元浅草4-10-7,139.7880779,35.71022928,
都-463-9,強化液消火器（３型）,東京都台東区元浅草4-9-10,139.7870262,35.7104123,
都-463-10,強化液消火器（３型）,東京都台東区元浅草4-7-19,139.7861464,35.71056801,
都-463-11,強化液消火器（３型）,東京都台東区元浅草2-10-14,139.7846274,35.71083504,
都-463-12,強化液消火器（３型）,東京都台東区元浅草2-11-11,139.7837278,35.71100164,
都-463-13,強化液消火器（３型）,東京都台東区東上野3-33-8,139.7821923,35.71129274,
都-463-14,強化液消火器（３型）,東京都台東区東上野3-35-9,139.7810551,35.71148495,
都-463-15,強化液消火器（３型）,東京都台東区東上野3-36-7,139.780242,35.71163095,
都-463-16,強化液消火器（３型）,東京都台東区東上野3-37-9,139.7793817,35.71179296,
都-463-17,強化液消火器（３型）,東京都台東区東上野3-39-7,139.778654,35.71192299,
都-463-18,強化液消火器（３型）,東京都台東区東上野4-3-1,139.7787914,35.71214438,
都-463-19,強化液消火器（３型）,東京都台東区東上野4-1-2,139.780393,35.71184574,
都-463-20,強化液消火器（３型）,東京都台東区東上野5-2-2,139.781057,35.71173885,
都-463-21,強化液消火器（３型）,東京都台東区東上野5-1-8,139.7819088,35.71158474,
都-463-22,強化液消火器（３型）,東京都台東区東上野6-2-3,139.7834519,35.71130429,
都-463-23,強化液消火器（３型）,東京都台東区東上野6-1-1,139.7848105,35.71106178,
都-463-24,強化液消火器（３型）,東京都台東区松が谷1-4-3,139.7856083,35.71091895,
都-463-25,強化液消火器（３型）,東京都台東区松が谷1-3-2,139.7866158,35.71074185,
都-463-26,強化液消火器（３型）,東京都台東区松が谷1-1-2,139.7880095,35.71049343,
都-463-27,強化液消火器（３型）,東京都台東区西浅草1-4-2,139.7885394,35.71038098,
都-463-28,強化液消火器（３型）,東京都台東区西浅草1-3-3,139.7893934,35.71020522,
都-463-29,強化液消火器（３型）,東京都台東区西浅草1-2-1,139.7903821,35.71000576,
都-463-30,強化液消火器（３型）,東京都台東区雷門1-6-5,139.7917458,35.70972315,
都-463-31,強化液消火器（３型）,東京都台東区雷門1-4-2,139.7933768,35.70936219,
都-463-32,強化液消火器（３型）,東京都台東区雷門1-1-3,139.7938543,35.70927563,
都-463-33,強化液消火器（３型）,東京都台東区雷門2-5-1,139.795501,35.70903717,
都-464-1,強化液消火器（３型）,東京都台東区清川2-39-4,139.7996825,35.72878839,
都-464-2,強化液消火器（３型）,東京都台東区清川2-31-3,139.799978,35.72818964,
都-464-3,強化液消火器（３型）,東京都台東区清川2-16-4,139.8003212,35.72748032,
都-464-4,強化液消火器（３型）,東京都台東区清川2-5-4,139.8007982,35.72650405,
都-464-5,強化液消火器（３型）,東京都台東区清川1-19-7,139.801191,35.72569925,
都-464-6,強化液消火器（３型）,東京都台東区清川1-18-6,139.8014089,35.72472735,
都-464-7,強化液消火器（３型）,東京都台東区清川1-7-6,139.8014965,35.72404319,
都-464-8,強化液消火器（３型）,東京都台東区清川1-6-4,139.8016102,35.72320031,
都-464-9,強化液消火器（３型）,東京都台東区今戸2-39-3,139.8017159,35.72238988,
都-464-10,強化液消火器（３型）,東京都台東区今戸2-14-6,139.8018449,35.72141422,
都-464-11,強化液消火器（３型）,東京都台東区今戸1-11-4,139.801959,35.72055015,
都-464-12,強化液消火器（３型）,東京都台東区今戸1-9-4,139.8020089,35.7195677,
都-464-13,強化液消火器（３型）,東京都台東区浅草7-9-3,139.8019903,35.71850708,
都-464-14,強化液消火器（３型）,東京都台東区浅草7-7-3,139.8019771,35.71800536,
都-464-15,強化液消火器（３型）,東京都台東区浅草7-5-4,139.8019645,35.71717061,
都-464-16,強化液消火器（３型）,東京都台東区浅草7-2-4,139.801943,35.71580671,
都-464-17,強化液消火器（３型）,東京都台東区浅草6-1-16,139.8017107,35.71570328,
都-464-18,強化液消火器（３型）,東京都台東区浅草6-21-11,139.8017309,35.71672144,
都-464-19,強化液消火器（３型）,東京都台東区浅草6-22-11,139.8017506,35.71775899,
都-464-20,強化液消火器（３型）,東京都台東区浅草6-36-17,139.8017742,35.71881163,
都-464-21,強化液消火器（３型）,東京都台東区東浅草1-1-19,139.8017961,35.71952142,
都-464-22,強化液消火器（３型）,東京都台東区東浅草1-1-15,139.801798,35.72020614,
都-464-23,強化液消火器（３型）,東京都台東区東浅草1-8-12,139.8016512,35.72125246,
都-464-24,強化液消火器（３型）,東京都台東区東浅草1-9-11,139.8015691,35.72186036,
都-464-25,強化液消火器（３型）,東京都台東区東浅草1-21-9,139.8014518,35.72277023,
都-464-26,強化液消火器（３型）,東京都台東区東浅草2-1-9,139.8013575,35.7234906,
都-464-27,強化液消火器（３型）,東京都台東区東浅草2-17-18,139.8012072,35.72461675,
都-464-28,強化液消火器（３型）,東京都台東区東浅草2-17-12,139.801106,35.72540056,
都-464-29,強化液消火器（３型）,東京都台東区日本堤1-1-1,139.8007048,35.72623131,
都-464-30,強化液消火器（３型）,東京都台東区日本堤1-23-8,139.8003456,35.72696396,
都-464-31,強化液消火器（３型）,東京都台東区日本堤1-40-1,139.8000181,35.72763178,
都-464-32,強化液消火器（３型）,東京都台東区日本堤2-28-10,139.7996368,35.72841214,
区-4-1,強化液消火器（３型）,東京都台東区柳橋1-29-7,139.7891239,35.69752744,
区-4-2,強化液消火器（３型）,東京都台東区柳橋1-31-5,139.7879452,35.6980493,
区-4-3,強化液消火器（３型）,東京都台東区浅草橋1-31-9,139.7860911,35.69853715,
区-4-4,強化液消火器（３型）,東京都台東区浅草橋1-33-5,139.7850035,35.69871109,
区-4-5,強化液消火器（３型）,東京都台東区浅草橋1-36-9,139.7834707,35.69887015,
区-4-6,強化液消火器（３型）,東京都台東区浅草橋4-19-8,139.7822068,35.69897453,
区-4-7,強化液消火器（３型）,東京都台東区浅草橋4-17-7,139.7812586,35.69904531,
区-4-8,強化液消火器（３型）,東京都台東区浅草橋5-4-1,139.7807588,35.69919404,
区-4-9,強化液消火器（３型）,東京都台東区浅草橋5-2-14,139.781826,35.69910964,
区-4-10,強化液消火器（３型）,東京都台東区浅草橋2-6-2,139.7842296,35.69890855,
区-4-11,強化液消火器（３型）,東京都台東区浅草橋2-4-3,139.7856891,35.69871207,
区-4-12,強化液消火器（３型）,東京都台東区浅草橋2-1-2,139.7866113,35.69857122,
区-4-13,強化液消火器（３型）,東京都台東区柳橋2-6-1,139.7874982,35.6983722,
区-4-14,強化液消火器（３型）,東京都台東区柳橋2-3-1,139.7886111,35.69788109,
区-5-1,強化液消火器（３型）,東京都台東区台東1-2-16,139.7802419,35.70113574,
区-5-2,強化液消火器（３型）,東京都台東区台東1-5-18,139.778509,35.70134566,
区-5-3,強化液消火器（３型）,東京都台東区台東1-10-6,139.7759574,35.70153748,
区-5-5,強化液消火器（３型）,東京都台東区台東1-25-7,139.7779269,35.70150181,
区-5-6,強化液消火器（３型）,東京都台東区台東1-21-1,139.7795856,35.70130983,
区-9-1,強化液消火器（３型）,東京都台東区蔵前4-6-7,139.7896556,35.70279905,
区-9-2,強化液消火器（３型）,東京都台東区蔵前4-10-6,139.7881477,35.70283047,
区-9-3,強化液消火器（３型）,東京都台東区鳥越2-13-12,139.7871633,35.7029045,
区-9-4,強化液消火器（３型）,東京都台東区鳥越2-11-9,139.7860051,35.70299933,
区-9-5,強化液消火器（３型）,東京都台東区鳥越2-9-9,139.785218,35.70307624,
区-9-6,強化液消火器（３型）,東京都台東区鳥越1-28-5,139.7840192,35.70342096,
区-9-7,強化液消火器（３型）,東京都台東区鳥越1-30-7,139.7829239,35.70357504,
区-9-8,強化液消火器（３型）,東京都台東区鳥越1-22-8,139.7816609,35.70375475,
区-9-9,強化液消火器（３型）,東京都台東区台東2-20-9,139.7806516,35.7038285,
区-9-10,強化液消火器（３型）,東京都台東区台東2-32-12,139.7793091,35.70392525,
区-9-11,強化液消火器（３型）,東京都台東区台東2-31-8,139.7783607,35.70399741,
区-9-12,強化液消火器（３型）,東京都台東区台東2-29-8,139.7767778,35.70410726,
区-9-13,強化液消火器（３型）,東京都台東区上野5-7-7,139.7750616,35.70424114,
区-9-14,強化液消火器（３型）,東京都台東区上野3-5-7,139.7738453,35.70431486,
区-9-15,強化液消火器（３型）,東京都台東区上野3-7-2,139.7733975,35.70442604,
区-9-16,強化液消火器（３型）,東京都台東区上野5-11-3,139.7745773,35.7043572,
区-9-17,強化液消火器（３型）,東京都台東区上野5-14-1,139.775723,35.70430117,
区-9-18,強化液消火器（３型）,東京都台東区台東3-15-1,139.7764119,35.70424696,
区-9-19,強化液消火器（３型）,東京都台東区台東3-7-4,139.7782226,35.70410012,
区-9-20,強化液消火器（３型）,東京都台東区台東3-5-4,139.7790237,35.70405703,
区-9-21,強化液消火器（３型）,東京都台東区台東3-4-2,139.7799115,35.70399851,
区-9-22,強化液消火器（３型）,東京都台東区台東3-2-11,139.7810061,35.70393443,
区-9-26,強化液消火器（３型）,東京都台東区三筋1-1-1,139.7877662,35.70292478,
区-10-1,強化液消火器（３型）,東京都台東区蔵前4-19-11,139.7893253,35.70464081,
区-10-2,強化液消火器（３型）,東京都台東区蔵前4-18-10,139.7884156,35.70469341,
区-10-3,強化液消火器（３型）,東京都台東区三筋1-15-9,139.7871125,35.70472484,
区-10-4,強化液消火器（３型）,東京都台東区三筋1-11-10,139.7854011,35.70471463,
区-10-5,強化液消火器（３型）,東京都台東区小島1-16-8,139.7833547,35.70486591,
区-10-6,強化液消火器（３型）,東京都台東区小島1-7-9,139.7822294,35.70500839,
区-10-8,強化液消火器（３型）,東京都台東区台東3-46-8,139.7784439,35.70561224,
区-10-9,強化液消火器（３型）,東京都台東区台東3-43-10,139.7773515,35.70570514,
区-10-10,強化液消火器（３型）,東京都台東区上野5-15-10,139.7756933,35.70585178,
区-10-11,強化液消火器（３型）,東京都台東区上野3-20-7,139.7739741,35.70599844,
区-10-12,強化液消火器（３型）,東京都台東区上野3-17-7,139.7726008,35.70630079,
区-10-13,強化液消火器（３型）,東京都台東区上野1-12-7,139.7707782,35.70646712,
区-10-14,強化液消火器（３型）,東京都台東区上野1-14-2,139.7702087,35.70658808,
区-10-15,強化液消火器（３型）,東京都台東区上野1-16-2,139.7712328,35.70651229,
区-10-16,強化液消火器（３型）,東京都台東区上野3-23-11,139.7732892,35.70623656,
区-10-17,強化液消火器（３型）,東京都台東区上野5-21-14,139.7750697,35.70597064,
区-10-18,強化液消火器（３型）,東京都台東区台東4-8-2,139.7765673,35.705875,
区-10-19,強化液消火器（３型）,東京都台東区台東4-5-1,139.7790113,35.70566746,
区-10-21,強化液消火器（３型）,東京都台東区小島2-3-3,139.7829203,35.70503457,
区-10-22,強化液消火器（３型）,東京都台東区小島2-2-4,139.7837985,35.70492405,
区-10-23,強化液消火器（３型）,東京都台東区三筋2-5-1,139.786192,35.70479695,
区-10-24,強化液消火器（３型）,東京都台東区蔵前4-23-2,139.7890756,35.70473272,
区-10-25,強化液消火器（３型）,東京都台東区蔵前4-21-1,139.7900672,35.70467384,
区-11-1,強化液消火器（３型）,東京都台東区台東3-44-2,139.777508,35.70547471,
区-11-2,強化液消火器（３型）,東京都台東区台東3-18-2,139.7774223,35.70472891,
区-11-3,強化液消火器（３型）,東京都台東区台東2-30-2,139.7773232,35.70370794,
区-11-4,強化液消火器（３型）,東京都台東区台東2-6-5,139.7772421,35.70266235,
区-11-5,強化液消火器（３型）,東京都台東区台東1-12-8,139.7769706,35.7014289,
区-11-6,強化液消火器（３型）,東京都台東区台東1-13-7,139.7770783,35.70118685,
区-11-7,強化液消火器（３型）,東京都台東区台東1-7-1,139.7769144,35.70055797,
